"date","true","false","pct_ret"
"2018-8-28",2,10,16.6666666666667
"2018-8-29",2,10,16.6666666666667
"2018-8-30",3,9,25
"2018-8-31",3,9,25
"2018-9-1",3,8,27.2727272727273
"2018-9-2",3,8,27.2727272727273
"2018-9-3",3,8,27.2727272727273
"2018-9-4",3,8,27.2727272727273
"2018-9-5",3,8,27.2727272727273
"2018-9-6",2,9,18.1818181818182
"2018-9-7",2,9,18.1818181818182
"2018-9-8",2,9,18.1818181818182
"2018-9-9",2,9,18.1818181818182
"2018-9-10",2,9,18.1818181818182
"2018-9-11",2,9,18.1818181818182
"2018-9-12",2,9,18.1818181818182
"2018-9-13",1,10,9.09090909090909
"2018-9-14",1,10,9.09090909090909
"2018-9-15",1,10,9.09090909090909
"2018-9-16",1,10,9.09090909090909
"2018-9-17",2,9,18.1818181818182
"2018-9-18",2,9,18.1818181818182
"2018-9-19",2,9,18.1818181818182
"2018-9-20",2,9,18.1818181818182
"2018-9-21",2,9,18.1818181818182
"2018-9-22",2,9,18.1818181818182
"2018-9-23",1,10,9.09090909090909
"2018-9-24",1,10,9.09090909090909
"2018-9-25",1,10,9.09090909090909
"2018-9-26",1,10,9.09090909090909
"2018-9-27",1,10,9.09090909090909
"2018-9-28",1,10,9.09090909090909
"2018-9-29",1,10,9.09090909090909
"2018-9-30",1,10,9.09090909090909
"2018-10-1",1,10,9.09090909090909
"2018-10-2",1,10,9.09090909090909
"2018-10-3",1,10,9.09090909090909
"2018-10-4",2,9,18.1818181818182
"2018-10-5",2,9,18.1818181818182
"2018-10-6",2,9,18.1818181818182
"2018-10-7",2,9,18.1818181818182
"2018-10-8",2,9,18.1818181818182
"2018-10-9",2,9,18.1818181818182
"2018-10-10",1,10,9.09090909090909
"2018-10-11",1,10,9.09090909090909
"2018-10-12",1,10,9.09090909090909
"2018-10-13",2,9,18.1818181818182
"2018-10-14",2,9,18.1818181818182
"2018-10-15",2,9,18.1818181818182
"2018-10-16",2,9,18.1818181818182
"2018-10-17",2,9,18.1818181818182
"2018-10-18",2,9,18.1818181818182
"2018-10-19",2,9,18.1818181818182
"2018-10-20",2,9,18.1818181818182
"2018-10-21",3,8,27.2727272727273
"2018-10-22",3,8,27.2727272727273
"2018-10-23",3,8,27.2727272727273
"2018-10-24",3,8,27.2727272727273
"2018-10-25",3,8,27.2727272727273
"2018-10-26",2,9,18.1818181818182
"2018-10-27",2,9,18.1818181818182
"2018-10-28",2,9,18.1818181818182
"2018-10-29",2,9,18.1818181818182
"2018-10-30",2,9,18.1818181818182
"2018-10-31",3,8,27.2727272727273
"2018-11-1",3,8,27.2727272727273
"2018-11-2",3,8,27.2727272727273
"2018-11-3",3,8,27.2727272727273
"2018-11-4",2,9,18.1818181818182
"2018-11-5",2,9,18.1818181818182
"2018-11-6",3,8,27.2727272727273
"2018-11-7",3,8,27.2727272727273
"2018-11-8",3,8,27.2727272727273
"2018-11-9",3,8,27.2727272727273
"2018-11-10",3,8,27.2727272727273
"2018-11-11",2,9,18.1818181818182
"2018-11-12",2,9,18.1818181818182
"2018-11-13",2,9,18.1818181818182
"2018-11-14",2,9,18.1818181818182
"2018-11-15",2,9,18.1818181818182
"2018-11-16",3,8,27.2727272727273
"2018-11-17",3,8,27.2727272727273
"2018-11-18",3,8,27.2727272727273
"2018-11-19",3,8,27.2727272727273
"2018-11-20",3,8,27.2727272727273
"2018-11-21",2,9,18.1818181818182
"2018-11-22",2,9,18.1818181818182
"2018-11-23",3,8,27.2727272727273
"2018-11-24",3,8,27.2727272727273
"2018-11-25",3,8,27.2727272727273
"2018-11-26",3,8,27.2727272727273
"2018-11-27",2,9,18.1818181818182
"2018-11-28",2,9,18.1818181818182
"2018-11-29",2,9,18.1818181818182
"2018-11-30",2,9,18.1818181818182
"2018-12-1",2,9,18.1818181818182
"2018-12-2",2,9,18.1818181818182
"2018-12-3",3,8,27.2727272727273
"2018-12-4",3,8,27.2727272727273
"2018-12-5",3,8,27.2727272727273
"2018-12-6",3,8,27.2727272727273
"2018-12-7",2,9,18.1818181818182
"2018-12-8",2,9,18.1818181818182
"2018-12-9",2,9,18.1818181818182
"2018-12-10",3,8,27.2727272727273
"2018-12-11",3,8,27.2727272727273
"2018-12-12",3,8,27.2727272727273
"2018-12-13",3,8,27.2727272727273
"2018-12-14",2,9,18.1818181818182
"2018-12-15",2,9,18.1818181818182
"2018-12-16",2,9,18.1818181818182
"2018-12-17",2,9,18.1818181818182
"2018-12-18",2,9,18.1818181818182
"2018-12-19",3,8,27.2727272727273
"2018-12-20",3,8,27.2727272727273
"2018-12-21",3,8,27.2727272727273
"2018-12-22",3,8,27.2727272727273
"2018-12-23",2,9,18.1818181818182
"2018-12-24",2,9,18.1818181818182
"2018-12-25",2,9,18.1818181818182
"2018-12-26",2,9,18.1818181818182
"2018-12-27",2,9,18.1818181818182
"2018-12-28",2,9,18.1818181818182
"2018-12-29",2,9,18.1818181818182
"2018-12-30",1,10,9.09090909090909
"2018-12-31",1,10,9.09090909090909
